method,source
/smallsql/database/DataSource/init(smallsql.database.SSConnection),"[""boolean init( SSConnection con ) throws Exception{return false;}""]"
/smallsql/database/StoreImpl/resizePage(int),"[""private void resizePage(int minNewSize){"",""    \tint newSize = Math.max(minNewSize, page.length*2);"",""    \tbyte[] newPage = new byte[newSize];"",""    \tSystem.arraycopy( page, 0, newPage, 0, page.length);"",""    \tpage = newPage;"",""    }""]"
/smallsql/database/Index/clear(),"[""/**"",""\t * Remove all entries"",""\t */"",""\tfinal void clear(){"",""\t\trootPage.clear();"",""\t}"",""\t/*================================================================"",""\t * Normalize functions"",""\t * convert the value to a binary with identical sort order "",""\t * like the original values. "",""\t ================================================================*/""]"
/smallsql/database/Index/Index(smallsql.database.IndexNode),"[""Index(IndexNode rootPage){"",""        this.rootPage = rootPage;"",""    }""]"
/smallsql/junit/BasicTestCase/printSQL(java.lang.String),"[""void printSQL(String sql) throws SQLException{"",""\t\tConnection con = AllTests.getConnection();"",""\t\tStatement st = con.createStatement();"",""\t\tResultSet rs = st.executeQuery(sql);"",""\t\tprintRS( rs );"",""\t}""]"
/smallsql/database/UnionAll/getMoney(int),"[""final long getMoney(int colIdx) throws Exception {"",""\t\treturn currentDS.getMoney(colIdx);"",""\t}""]"
/smallsql/database/SSDatabaseMetaData/supportsLikeEscapeClause(),"[""public boolean supportsLikeEscapeClause() {"",""    \treturn true;"",""    }""]"
/smallsql/database/SSDatabaseMetaData/supportsANSI92FullSQL(),"[""public boolean supportsANSI92FullSQL() {"",""    \treturn true;"",""    }""]"
/smallsql/database/SSDatabaseMetaData/ownUpdatesAreVisible(int),"[""public boolean ownUpdatesAreVisible(int type) {"",""\t\treturn supportsResultSetType(type);"",""    }""]"
/smallsql/database/SSStatement/cancel(),"[""final public void cancel() throws SQLException{"",""        checkStatement();"",""        // TODO Statement.cancel()"",""    }""]"
/smallsql/database/MemoryResult/rowDeleted(),"[""final boolean rowDeleted(){"",""\t\treturn false;"",""\t}""]"
/smallsql/database/ExpressionArithmetic/getDoubleImpl(),"[""private double getDoubleImpl() throws java.lang.Exception{"",""\t\tif(operation == NEGATIVE)"",""\t\t\treturn getDoubleImpl(0, left.getDouble());"",""\t\treturn getDoubleImpl(left.getDouble(), right.getDouble());"",""\t}""]"
"/smallsql/database/Command/executeImpl(smallsql.database.SSConnection,smallsql.database.SSStatement)","[""abstract void executeImpl(SSConnection con, SSStatement st) throws Exception;""]"
/smallsql/database/MutableDouble/intValue(),"[""public int intValue() {"",""\t\treturn (int)value;"",""\t}""]"
/smallsql/database/DateTime/parse(java.lang.String),"[""static long parse(final String datetime) throws SQLException{"",""\t\ttry{"",""\t\t\tfinal int length = datetime.length();"","""",""\t\t\tfinal int year;"",""\t\t\tfinal int month;"",""\t\t\tfinal int day;"",""\t\t\tfinal int hour;"",""\t\t\tfinal int minute;"",""\t\t\tfinal int second;"",""\t\t\tfinal int millis;"",""\t\t\t"","""",""\t\t\tint idx1 = 0;"",""\t\t\tint idx2 = datetime.indexOf(\'-\');"",""\t\t\tif(idx2 \> 0){"",""\t\t\t\tyear = Integer.parseInt(datetime.substring(idx1, idx2).trim());"",""\t\t\t\t"",""\t\t\t\tidx1 = idx2+1;"",""\t\t\t\tidx2 = datetime.indexOf(\'-\', idx1);"",""\t\t\t\tmonth = Integer.parseInt(datetime.substring(idx1, idx2).trim())-1;"",""\t\t\t\t"",""\t\t\t\tidx1 = idx2+1;"",""\t\t\t\tidx2 = datetime.indexOf(\' \', idx1);"",""\t\t\t\tif(idx2 \< 0) idx2 = datetime.length();"",""\t\t\t\tday = Integer.parseInt(datetime.substring(idx1, idx2).trim());"",""\t\t\t}else{"",""\t\t\t\tyear  = 1970;"",""\t\t\t\tmonth = 0;"",""\t\t\t\tday   = 1;"",""\t\t\t}"",""\t\t\t"",""\t\t\tidx1 = idx2+1;"",""\t\t\tidx2 = datetime.indexOf(\':\', idx1);"",""\t\t\tif(idx2\>0){"",""\t\t\t\thour = Integer.parseInt(datetime.substring(idx1, idx2).trim());"",""\t\t\t\t"",""\t\t\t\tidx1 = idx2+1;"",""\t\t\t\tidx2 = datetime.indexOf(\':\', idx1);"",""\t\t\t\tminute = Integer.parseInt(datetime.substring(idx1, idx2).trim());"",""\t\t\t\t"",""\t\t\t\tidx1 = idx2+1;"",""\t\t\t\tidx2 = datetime.indexOf(\'.\', idx1);"",""\t\t\t\tif(idx2 \< 0) idx2 = datetime.length();"",""\t\t\t\tsecond = Integer.parseInt(datetime.substring(idx1, idx2).trim());"",""\t\t\t\t"",""\t\t\t\tidx1 = idx2+1;"",""\t\t\t\tif(idx1 \< length){"",""\t\t\t\t\tString strMillis = datetime.substring(idx1).trim();"",""\t\t\t\t\tswitch(strMillis.length()){"",""\t\t\t\t\t\tcase 1:"",""\t\t\t\t\t\t\tmillis = Integer.parseInt(strMillis) * 100;"",""\t\t\t\t\t\t\tbreak;"",""\t\t\t\t\t\tcase 2:"",""\t\t\t\t\t\t\tmillis = Integer.parseInt(strMillis) * 10;"",""\t\t\t\t\t\t\tbreak;"",""\t\t\t\t\t\tcase 3:"",""\t\t\t\t\t\t\tmillis = Integer.parseInt(strMillis);"",""\t\t\t\t\t\t\tbreak;"",""\t\t\t\t\t\tdefault:"",""\t\t\t\t\t\t\tmillis = Integer.parseInt(strMillis.substring(0,3));"",""\t\t\t\t\t}"",""\t\t\t\t}else"",""\t\t\t\t\tmillis = 0;"",""\t\t\t}else{"",""\t\t\t\thour   = 0;"",""\t\t\t\tminute = 0;"",""\t\t\t\tsecond = 0;"",""\t\t\t\tmillis = 0;\t\t\t\t"",""\t\t\t}"",""            if(idx1 == 0 && length \> 0){"",""                throw SmallSQLException.create(Language.DATETIME_INVALID);"",""            }"",""            "",""            if(month \>= 12){"",""                throw SmallSQLException.create(Language.MONTH_TOOLARGE, datetime );"",""            }"",""            if(day \>= 32){"",""                throw SmallSQLException.create(Language.DAYS_TOOLARGE, datetime );"",""            }"",""            if(day == 31){"",""                switch(month){"",""                case 1:"",""                case 3:"",""                case 5:"",""                case 8:"",""                case 10:"",""                    throw SmallSQLException.create(Language.DAYS_TOOLARGE, datetime );"",""                }"",""            }"",""            if(month == 1){"",""                if(day == 30){"",""                    throw SmallSQLException.create(Language.DAYS_TOOLARGE, datetime );"",""                }"",""                if(day == 29){"",""                    if(!isLeapYear(year)){"",""                        throw SmallSQLException.create(Language.DAYS_TOOLARGE, datetime );"",""                    }"",""                }"",""            }"",""            if(hour \>= 24){"",""                throw SmallSQLException.create(Language.HOURS_TOOLARGE, datetime );"",""            }"",""            if(minute \>= 60){"",""                throw SmallSQLException.create(Language.MINUTES_TOOLARGE, datetime );"",""            }"",""            if(second \>= 60){"",""                throw SmallSQLException.create(Language.SECS_TOOLARGE, datetime );"",""            }"",""            if(millis \>= 1000){"",""                throw SmallSQLException.create(Language.MILLIS_TOOLARGE, datetime );"",""            }"",""\t\t\treturn calcMillis(year, month, day, hour, minute, second, millis);"",""        }catch(SQLException ex){"",""            throw ex;"",""\t\t}catch(Throwable ex){"",""\t\t\tthrow SmallSQLException.createFromException(Language.DATETIME_INVALID, datetime, ex );"",""\t\t}"",""\t}""]"
"/smallsql/junit/TestFunctions/a(java.lang.String,java.lang.Object)","[""private static TestValue a(String function, Object result){"",""        TestValue value = new TestValue();"",""        value.function  = function;"",""        value.result    = result;"",""        return value;"",""    }""]"
/smallsql/junit/TestExceptionMethods/testDuplicatedColumnAlter(),"[""public void testDuplicatedColumnAlter() throws Exception{"",""        Connection con = AllTests.getConnection();"",""        try{"",""            Statement st = con.createStatement();"",""            st.execute(\""Create Table DuplicatedColumn(col INT)\"");"",""            try{"",""                st.execute(\""ALTER TABLE DuplicatedColumn Add Col INT\"");"",""                fail(\""SQLException \'Duplicated Column\' should be throw\"");"",""            }catch(SQLException e){"",""                assertSQLException(\""01000\"", 0, e);"",""            }"",""        }finally{"",""            dropTable(con, \""DuplicatedColumn\"");"",""        }"",""    }""]"
/smallsql/database/SSCallableStatement/getInt(int),"[""public int getInt(int i) throws SQLException {"",""        try{"",""            Expression expr = getValue(i);"",""            wasNull = expr.isNull();"",""            return expr.getInt();"",""        }catch(Exception e){"",""            throw SmallSQLException.createFromException( e );"",""        }"",""    }""]"
"/smallsql/database/StoreImpl/getLong(int,int)","[""/**"",""     * It used for ResultSet.getLong()"",""     */"",""    @Override"",""    long getLong(int valueOffset, int dataType) throws Exception{"",""        this.offset = valueOffset;"",""        if(readBoolean()) return 0;"",""        switch(dataType){"",""            case SQLTokenizer.BIT:"",""            case SQLTokenizer.BOOLEAN:"",""                    return readBoolean() ? 1 : 0;"",""            case SQLTokenizer.BINARY:"",""            case SQLTokenizer.VARBINARY:"",""                    return Utils.bytes2long( readBinary() );"",""            case SQLTokenizer.TINYINT:"",""                    return readUnsignedByte();"",""            case SQLTokenizer.SMALLINT:"",""                    return readShort();"",""            case SQLTokenizer.INT:"",""                    return readInt();"",""            case SQLTokenizer.BIGINT:"",""                    return readLong();"",""            case SQLTokenizer.REAL:"",""                    return (long)readFloat();"",""            case SQLTokenizer.FLOAT:"",""            case SQLTokenizer.DOUBLE:"",""                    return (long)readDouble();"",""            case SQLTokenizer.MONEY:"",""                    return readLong() / 10000;"",""            case SQLTokenizer.SMALLMONEY:"",""                    return readInt() / 10000;"",""            case SQLTokenizer.NUMERIC:"",""            case SQLTokenizer.DECIMAL:"",""                    return readNumeric().longValue();"",""            case SQLTokenizer.CHAR:"",""            case SQLTokenizer.NCHAR:"",""            case SQLTokenizer.VARCHAR:"",""            case SQLTokenizer.NVARCHAR:"",""                    return Long.parseLong( readString() );"",""\t\t\tcase SQLTokenizer.CLOB:"",""\t\t\tcase SQLTokenizer.NCLOB:"",""            case SQLTokenizer.LONGNVARCHAR:"",""            case SQLTokenizer.LONGVARCHAR:"",""                    return Long.parseLong( readLongString() );"",""            case SQLTokenizer.JAVA_OBJECT:"",""                    ByteArrayInputStream bais = new ByteArrayInputStream(readLongBinary());"",""                    ObjectInputStream ois = new ObjectInputStream(bais);"",""                    return ExpressionValue.getLong( ois.readObject().toString(), SQLTokenizer.VARCHAR );"",""            case SQLTokenizer.LONGVARBINARY:"",""            case SQLTokenizer.BLOB:"",""                    return Utils.bytes2long( readLongBinary() );"",""\t\t\tcase SQLTokenizer.TIMESTAMP:"",""\t\t\t\t\treturn readTimestamp();"",""\t\t\tcase SQLTokenizer.TIME:"",""\t\t\t\t\treturn readTime();"",""\t\t\tcase SQLTokenizer.DATE:"",""\t\t\t\t\treturn readDate();"",""\t\t\tcase SQLTokenizer.SMALLDATETIME:"",""\t\t\t\t\treturn readSmallDateTime();"",""\t\t\tdefault:"",""\t\t\t\tthrow SmallSQLException.create(Language.VALUE_CANT_CONVERT, new Object[] { SQLTokenizer.getKeyWord(dataType), \""BIGINT\"" });"",""        }"",""    }""]"
"/smallsql/database/ForeignKey/ForeignKey(java.lang.String,smallsql.database.IndexDescription,java.lang.String,smallsql.database.IndexDescription)","[""ForeignKey(String pkTable, IndexDescription pk, String fkTable, IndexDescription fk){"",""\t\tthis.pkTable = pkTable;"",""\t\tthis.fkTable = fkTable;"",""\t\tthis.pk = pk;"",""\t\tthis.fk = fk;"",""\t}""]"
/smallsql/database/ExpressionArithmetic/getString(),"[""String getString() throws java.lang.Exception {"",""        if(isNull()) return null;"",""        return getObject().toString();"",""    }""]"
/smallsql/database/SSStatement/getGeneratedKeyIndexes(),"[""final int[] getGeneratedKeyIndexes(){"",""        return generatedKeyIndexes;"",""    }""]"
"/smallsql/database/Command/execute(smallsql.database.SSConnection,smallsql.database.SSStatement)","[""final void execute(SSConnection con, SSStatement st) throws SQLException{"",""    \tint savepoint = con.getSavepoint();"",""        try{"",""            executeImpl( con, st );"",""        }catch(Throwable e){"",""            con.rollback(savepoint);"",""            throw SmallSQLException.createFromException(e);"",""        }finally{"",""            if(con.getAutoCommit()) con.commit();"",""        }"",""    }""]"
/smallsql/database/RowSource/isLast(),"[""/**"",""\t * Equals to ResultSet.isLast()."",""\t */"",""\tboolean isLast() throws Exception{"",""\t\tthrow SmallSQLException.create(Language.RSET_FWDONLY);"",""\t}""]"
/smallsql/database/SSStatement/execute(java.lang.String),"[""final public boolean execute(String sql) throws SQLException{"",""        executeImpl(sql);"",""        return cmd.getResultSet() != null;"",""    }""]"
